species,Tips,matched_name
Platalea leucorodia,Platalea_leucorodia_NC012772,Platalea leucorodia
Platalea minor,Platalea_minor_NC010962,Platalea minor
Pluvianellus socialis,Pluvianellus_socialis,Pluvianellus socialis
Podiceps cristatus,Podiceps_cristatus_NC008140,Podiceps cristatus
Podoces hendersoni,Podoces_hendersoni_NC014879,Podoces hendersoni
Poecile atricapillus,Poecile_atricapilla,Poecile atricapillus
Poecile palustris,Poecile_palustris_NC_026911,Poecile palustris
Polyplectron bicalcaratum,Polyplectron_bicalcaratum_NC012900,Polyplectron bicalcaratum
Polyplectron germaini,Polyplectron_germaini_NC023264,Polyplectron germaini
Polyplectron napoleonis,Polyplectron_napoleonis_KJ939353,Polyplectron napoleonis
Porphyrio hochstetteri,Porphyrio_hochstetteri_NC010092,Porphyrio hochstetteri
Porphyrio porphyrio,Porphyrio_porphyrio_NC025508,Porphyrio porphyrio
Primolius couloni,Primolius_couloni_NC025742,Primolius couloni
Procellaria cinerea,Procellaria_cinerea_AP009191,Procellaria cinerea
Progne chalybea,Progne_chalybea_NC020605,Progne chalybea
Pseudoleistes guirahuro,Pseudoleistes_guirahuro_NC018809,Pseudoleistes guirahuro
Pseudoleistes virescens,Pseudoleistes_virescens_NC018805,Pseudoleistes virescens
Pseudonestor xanthophrys,Pseudonestor_xanthophrys,Pseudonestor xanthophrys
Pseudopodoces humilis,Pseudopodoces_humilisreal,Pseudopodoces humilis
Pterocnemia pennata,Pterocnemia_pennata_NC002783,Rhea pennata
Pterodroma brevirostris,Pterodroma_brevirostris_NC007174,Aphrodroma brevirostris
Pteroglossus azara,Pteroglossus_azara_NC008549,Pteroglossus azara
Ptilopachus petrosus,Ptilopachus_petrosus_NC024616,Ptilopachus petrosus
Pycnonotus melanicterus,Pycnonotus_melanicterus_KJ186975,NA
Pycnonotus sinensis,Pycnonotus_sinensis_NC013838,Pycnonotus sinensis
Pycnonotus taivanus,Pycnonotus_taivanus_NC013483,Pycnonotus taivanus
Pygoscelis adeliae,Pygoscelis_adeliae_GQ925791,Pygoscelis adeliae
Pygoscelis antarcticus,Pygoscelis_antarcticus_NC021474_,Pygoscelis antarcticus
Pyrgilauda blanfordi,Pyrgilauda_blanfordi,Pyrgilauda blanfordi
Pyrgilauda davidiana,Pyrgilauda_davidiana,Pyrgilauda davidiana
Pyrrhocorax graculus,Pyrrhocorax_graculus,Pyrrhocorax graculus
Pyrrhocorax pyrrhocorax,Pyrrhocorax_pyrrhocorax,Pyrrhocorax pyrrhocorax
Pyrrhula pyrrhula,Pyrrhula_pyrrhula,Pyrrhula pyrrhula
Quiscalus quiscula,Quiscalus_quiscula_NC018803,Quiscalus quiscula
Rallina eurizonoides,Rallina_eurizonoides_NC012142,Rallina eurizonoides
Rhea americana,Rhea_americana_NC000846,Rhea americana
Rhynchopsitta terrisi,Rhynchopsitta_terrisi_NC021771,Rhynchopsitta terrisi
Rhynchortyx cinctus,Rhynchortyx_cinctus,Rhynchortyx cinctus
Rissa tridactyla,Rissa_tridactyla,Rissa tridactyla
Rynchops niger,Rhynchops_niger,Rynchops niger
Sagittarius serpentarius,Sagittarius_serpentarius_NC023788,Sagittarius serpentarius
Sasia ochracea,Sasia_ochracea,Sasia ochracea
Saxicola rubicola,Saxicola_rubicola_AV7,Saxicola rubicola
Saxicola torquata,Saxicola_torquata_AV6,Saxicola torquatus
Scolopax rusticola,Scolopax_rusticola_NC025521,Scolopax rusticola
Serinus albogularis,Serinus_albogularis,Crithagra albogularis
Serinus canaria,Serinus_canarius,Serinus canaria
Serinus dorsostriatus,Serinus_dorsostriatus_KM078798,Crithagra dorsostriata
Sitta carolinensis,Sitta_carolinensis,Sitta carolinensis
Spheniscus demersus,Spheniscus_demersus_NC022817,Spheniscus demersus
Spilornis cheela,Spilornis_cheela_NC015887,Spilornis cheela
Spizaetus alboniger,Spizaetus_alboniger_NC007599,Nisaetus alboniger
Spizaetus nipalensis,Spizaetus_nipalensis_NC_007598,Nisaetus nipalensis
Stercorarius maccormicki,Stercorarius_maccormicki_NC026125,Stercorarius maccormicki
